f_ENS,f_con_peak,f_con_tot,f_disvi_tot,f_emit,f_gen,f_with_peak,f_with_tot,dec_label,gen_scenario
-0.00018143997992496662,4.365213411417996e7,2.991967975271234e8,0.0,60.12676520698621,4.846313509865185e6,5.450200487602923e7,3.735685682892009e8,D000588,Normal
-0.00018143997902984651,4.365213409639665e7,2.9919679753700775e8,0.0,60.126765326814535,4.8463135121473055e6,5.450200485379566e7,3.735685689381974e8,D000589,Normal
-0.00018143997902984657,4.3652133954797e7,2.9919679669295645e8,0.0,60.126765862927925,4.846313526601202e6,5.450200467679081e7,3.735685675776883e8,D000590,Normal
-0.00018143997902984651,4.365213408665439e7,2.9919679747723687e8,0.0,60.12676536351337,4.84631351312018e6,5.450200484161661e7,3.735685688634751e8,D000591,Normal
-0.00018143997902984657,4.365213086175383e7,2.9830849819899416e8,0.0,60.66627351122369,4.860717815779285e6,5.450200081048531e7,3.724581944610725e8,D000592,Normal
-0.00018143997723960522,4.167346090591726e7,2.8668814109097934e8,0.0,67.72756319037947,5.050384339855785e6,5.2028663416244924e7,3.5793274939113355e8,D000593,Normal
-0.00018143997902984676,4.365213437408269e7,2.991967992743584e8,0.0,60.1267652342391,4.846313511829538e6,5.450200518478783e7,3.735685707114535e8,D000594,Normal
-0.00018143997902984676,4.365213436669214e7,2.991967992289513e8,0.0,60.12676526290696,4.846313512575882e6,5.4502005175546125e7,3.7356857065466976e8,D000595,Normal
-0.00018143997902984676,4.365213434715402e7,2.9919679910875857e8,0.0,60.12676533723076,4.846313514541274e6,5.4502005151119195e7,3.735685705043996e8,D000596,Normal
-0.00018143997902984676,4.3652134363684386e7,2.9919679921046376e8,0.0,60.12676527443902,4.846313512878895e6,5.4502005171785384e7,3.7356857063155353e8,D000597,Normal
-0.00018143997902984676,4.3652134335989416e7,2.991967990399536e8,0.0,60.12676537940646,4.846313515663319e6,5.4502005137162246e7,3.7356857041838515e8,D000598,Normal
-0.0001814399790298467,4.208458904391384e7,2.892211160744842e8,0.0,66.19067754258575,5.008884981163464e6,5.254532695301319e7,3.610989669725677e8,D000599,Normal
-0.00018143997902984676,4.365213431704033e7,2.991967989229264e8,0.0,60.12676545091148,4.846313517569514e6,5.450200511347469e7,3.7356857027209264e8,D000600,Normal
